iter	Passed	Remaining
0	1	172
1	2	140
2	3	127
3	4	117
4	6	114
5	7	110
6	8	110
7	10	117
8	11	115
9	12	113
10	13	110
11	14	108
12	15	106
13	17	104
14	18	104
15	19	103
16	20	102
17	22	100
18	23	98
19	24	98
20	25	96
21	26	95
22	28	95
23	29	93
24	30	92
25	31	90
26	32	89
27	33	87
28	35	86
29	36	85
30	37	84
31	39	83
32	40	81
33	41	80
34	42	78
35	43	77
36	44	75
37	45	74
38	46	73
39	47	71
40	48	69
41	48	67
42	49	65
43	50	64
44	51	62
45	52	61
46	52	59
47	54	58
48	55	57
49	55	55
50	56	54
51	57	53
52	58	51
53	59	50
54	59	48
55	60	47
56	61	46
57	62	45
58	63	44
59	64	42
60	65	41
61	65	40
62	66	39
63	67	38
64	68	37
65	69	35
66	70	34
67	71	33
68	72	32
69	73	31
70	74	30
71	74	29
72	75	27
73	76	26
74	77	25
75	78	24
76	78	23
77	79	22
78	80	21
79	82	20
80	83	19
81	84	18
82	84	17
83	85	16
84	86	15
85	87	14
86	88	13
87	89	12
88	90	11
89	90	10
90	91	9
91	92	8
92	93	7
93	94	6
94	95	5
95	95	3
96	96	2
97	97	1
98	98	0
99	99	0
