iter	Passed	Remaining
0	246	245843
1	248	124002
2	250	83302
3	252	62906
4	254	50667
5	256	42530
6	259	36760
7	261	32385
8	263	28981
9	265	26250
10	267	24042
11	268	22140
12	270	20569
13	274	19322
14	276	18155
15	278	17142
16	280	16232
17	282	15424
18	284	14705
19	287	14099
20	289	13494
21	290	12931
22	292	12432
23	294	11966
24	295	11526
25	296	11121
26	298	10745
27	299	10412
28	303	10162
29	304	9859
30	306	9588
31	312	9454
32	314	9213
33	316	8986
34	320	8828
35	322	8635
36	324	8449
37	326	8269
38	329	8114
39	330	7942
40	333	7805
41	335	7646
42	336	7496
43	339	7368
44	340	7229
45	342	7093
46	351	7118
47	353	7006
48	356	6927
49	359	6821
50	360	6710
51	364	6641
52	365	6534
53	367	6446
54	369	6351
55	371	6255
56	372	6163
57	373	6070
58	375	5983
59	378	5933
60	380	5852
61	381	5775
62	383	5702
63	384	5628
64	386	5560
65	387	5487
66	389	5416
67	390	5348
68	391	5282
69	395	5248
70	396	5190
71	398	5131
72	399	5077
73	401	5018
74	402	4962
75	403	4911
76	405	4856
77	406	4803
78	410	4781
79	411	4734
80	413	4693
81	415	4648
82	416	4600
83	417	4554
84	418	4509
85	420	4465
86	421	4422
87	425	4407
88	426	4369
89	428	4331
90	429	4291
91	430	4253
92	432	4219
93	433	4182
94	435	4145
95	436	4109
96	437	4074
97	442	4069
98	443	4036
99	445	4005
100	446	3973
101	447	3941
102	448	3909
103	450	3880
104	451	3846
105	452	3816
106	455	3803
107	457	3780
108	459	3754
109	460	3729
110	462	3702
111	463	3675
112	464	3648
113	466	3621
114	467	3595
115	468	3571
116	473	3570
117	474	3547
118	475	3523
119	477	3499
120	478	3478
121	480	3455
122	481	3432
123	482	3409
124	483	3386
125	487	3384
126	489	3365
127	490	3344
128	492	3322
129	493	3301
130	494	3280
131	495	3259
132	497	3240
133	498	3223
134	500	3204
135	504	3203
136	505	3186
137	507	3171
138	509	3154
139	510	3136
140	511	3118
141	513	3099
142	514	3081
143	517	3078
144	519	3063
145	520	3047
146	522	3031
147	523	3015
148	529	3025
149	531	3009
150	534	3002
151	535	2990
152	537	2974
153	538	2959
154	540	2944
155	541	2930
156	543	2915
157	544	2904
158	546	2890
159	549	2882
160	550	2868
161	552	2855
162	553	2843
163	555	2829
164	556	2815
165	557	2801
166	558	2787
167	560	2774
168	561	2760
169	563	2750
170	564	2738
171	566	2725
172	567	2712
173	568	2699
174	569	2686
175	571	2674
176	572	2663
177	574	2651
178	575	2639
179	576	2626
180	578	2616
181	580	2608
182	581	2597
183	583	2586
184	584	2574
185	585	2563
186	586	2551
187	588	2542
188	590	2532
189	591	2522
190	592	2510
191	594	2503
192	596	2494
193	598	2485
194	600	2477
195	601	2468
196	602	2457
197	604	2446
198	605	2436
199	606	2426
200	607	2416
201	610	2411
202	611	2401
203	612	2391
204	614	2381
205	615	2371
206	616	2362
207	618	2353
208	619	2344
209	620	2335
210	622	2326
211	623	2317
212	626	2314
213	628	2309
214	630	2303
215	632	2295
216	633	2287
217	635	2278
218	636	2269
219	638	2262
220	639	2254
221	642	2251
222	643	2243
223	645	2235
224	647	2229
225	648	2221
226	649	2213
227	651	2205
228	652	2197
229	653	2188
230	656	2185
231	658	2178
232	659	2171
233	660	2163
234	662	2155
235	663	2147
236	664	2140
237	666	2132
238	667	2124
239	668	2117
240	669	2109
241	672	2106
242	673	2099
243	675	2092
244	676	2084
245	677	2077
246	679	2070
247	680	2062
248	681	2055
249	683	2049
250	684	2042
251	685	2035
252	688	2033
253	689	2026
254	691	2019
255	692	2013
256	694	2006
257	695	2000
258	696	1994
259	698	1987
260	699	1981
261	701	1974
262	703	1972
263	705	1966
264	706	1960
265	708	1954
266	709	1948
267	711	1942
268	712	1936
269	713	1929
270	714	1923
271	716	1916
272	718	1914
273	720	1909
274	721	1903
275	723	1896
276	724	1890
277	725	1884
278	726	1878
279	728	1872
280	729	1866
281	731	1861
282	732	1855
283	735	1853
284	736	1847
285	737	1841
286	738	1835
287	740	1830
288	741	1824
289	742	1819
290	744	1813
291	745	1807
292	746	1802
293	750	1801
294	751	1795
295	752	1790
296	753	1784
297	755	1779
298	756	1773
299	761	1775
300	762	1771
301	765	1769
302	767	1765
303	768	1760
304	770	1755
305	771	1749
306	772	1744
307	774	1739
308	775	1733
309	776	1728
310	778	1724
311	779	1718
312	782	1716
313	783	1711
314	784	1706
315	786	1701
316	787	1696
317	788	1691
318	790	1686
319	791	1681
320	792	1676
321	793	1671
322	797	1672
323	799	1668
324	801	1665
325	805	1665
326	807	1661
327	808	1656
328	810	1653
329	813	1651
330	815	1648
331	818	1646
332	819	1642
333	822	1639
334	824	1635
335	826	1634
336	828	1630
337	830	1625
338	832	1622
339	833	1618
340	835	1615
341	837	1611
342	839	1607
343	843	1608
344	844	1604
345	846	1599
346	847	1594
347	848	1589
348	849	1585
349	851	1581
350	852	1577
351	854	1572
352	855	1568
353	858	1566
354	860	1563
355	861	1558
356	862	1554
357	864	1549
358	865	1544
359	866	1540
360	867	1536
361	869	1532
362	870	1528
363	872	1525
364	874	1521
365	875	1517
366	877	1513
367	878	1509
368	880	1505
